qid,answer
test_0001,A
test_0002,D
test_0003,A
test_0004,B
test_0005,A
test_0006,G
test_0007,A
test_0008,B
test_0009,A
test_0010,B
test_0011,A
test_0012,A
test_0013,B
test_0014,A
test_0015,C
test_0016,A
test_0017,B
test_0018,B
test_0019,A
test_0020,C
test_0021,A
test_0022,D
test_0023,B
test_0024,A
test_0025,C
test_0026,A
test_0027,C
test_0028,B
test_0029,C
test_0030,A
test_0031,B
test_0032,D
test_0033,A
test_0034,H
test_0035,A
test_0036,E
test_0037,D
test_0038,A
test_0039,E
test_0040,A
test_0041,A
test_0042,B
test_0043,B
test_0044,A
test_0045,A
test_0046,B
test_0047,B
test_0048,B
test_0049,B
test_0050,A
test_0051,A
test_0052,B
test_0053,D
test_0054,B
test_0055,B
test_0056,A
test_0057,D
test_0058,B
test_0059,A
test_0060,C
test_0061,A
test_0062,C
test_0063,A
test_0064,A
test_0065,I
test_0066,B
test_0067,A
test_0068,A
test_0069,B
test_0070,A
test_0071,A
test_0072,C
test_0073,A
test_0074,C
test_0075,C
test_0076,B
test_0077,B
test_0078,A
test_0079,A
test_0080,A
test_0081,B
test_0082,B
test_0083,C
test_0084,B
test_0085,A
test_0086,A
test_0087,C
test_0088,C
test_0089,B
test_0090,A
test_0091,A
test_0092,C
test_0093,C
test_0094,B
test_0095,A
test_0096,C
test_0097,D
test_0098,C
test_0099,A
test_0100,B
test_0101,B
test_0102,C
test_0103,B
test_0104,D
test_0105,B
test_0106,D
test_0107,D
test_0108,D
test_0109,B
test_0110,C
test_0111,D
test_0112,A
test_0113,D
test_0114,D
test_0115,D
test_0116,B
test_0117,A
test_0118,B
test_0119,D
test_0120,C
test_0121,B
test_0122,C
test_0123,B
test_0124,A
test_0125,D
test_0126,D
test_0127,A
test_0128,A
test_0129,B
test_0130,B
test_0131,C
test_0132,A
test_0133,C
test_0134,A
test_0135,A
test_0136,A
test_0137,A
test_0138,C
test_0139,A
test_0140,B
test_0141,C
test_0142,B
test_0143,B
test_0144,D
test_0145,E
test_0146,A
test_0147,ERROR_FORMAT
test_0148,H
test_0149,C
test_0150,A
test_0151,D
test_0152,A
test_0153,B
test_0154,A
test_0155,A
test_0156,A
test_0157,A
test_0158,A
test_0159,A
test_0160,B
test_0161,A
test_0162,G
test_0163,C
test_0164,A
test_0165,C
test_0166,A
test_0167,A
test_0168,A
test_0169,A
test_0170,C
test_0171,D
test_0172,B
test_0173,B
