qid,answer
val_0001,B
val_0002,A
val_0003,B
val_0004,B
val_0005,C
val_0006,C
val_0007,B
val_0008,B
val_0009,B
val_0010,A
val_0011,A
val_0012,B
val_0013,D
val_0014,A
val_0015,A
val_0016,B
val_0017,D
val_0018,D
val_0019,B
val_0020,C
val_0021,D
val_0022,D
val_0023,A
val_0024,B
val_0025,B
val_0026,B
val_0027,C
val_0028,B
val_0029,A
val_0030,B
val_0031,C
val_0032,B
val_0033,C
val_0034,C
val_0035,C
val_0036,B
val_0037,C
val_0038,A
val_0039,B
val_0040,A
val_0041,C
val_0042,B
val_0043,D
val_0044,C
val_0045,C
val_0046,B
val_0047,A
val_0048,A
val_0049,B
val_0050,A
val_0051,C
val_0052,C
val_0053,A
val_0054,D
val_0055,B
val_0056,D
val_0057,A
val_0058,A
val_0059,A
val_0060,B
val_0061,D
val_0062,C
val_0063,B
val_0064,A
val_0065,B
val_0066,B
val_0067,D
val_0068,C
val_0069,A
val_0070,D
val_0071,C
val_0072,A
val_0073,A
val_0074,C
val_0075,D
val_0076,D
val_0077,B
val_0078,A
val_0079,D
val_0080,C
val_0081,B
val_0082,C
val_0083,C
val_0084,D
val_0085,A
val_0086,C
val_0087,B
val_0088,C
val_0089,B
val_0090,C
val_0091,A
val_0092,A
val_0093,D
